Name,Service / Project,Service in folder,Website,Email,Main Tag,Second Tag,Third Tag ,Timings ,Who's it for?,Location,Notes,,,,,,,,,,,,,,,,,,,
Stepney Community Centre,Jewish Community Centre,,www.towerhamletsarts.org.uk/?cat=6&cid=17684&guide=venues,,Social,Group,Social Isolation,,All,E1 4NQ,,,,,,,,,,,,,,,,,,,,
Stepney Community trust,"Education, welfare, activities and gardening",,stepney.org.uk/,,Wellness,Multi-Purpose,Wellness,,All,E1 1HL,,,,,,,,,,,,,,,,,,,,
Stop Loan Sharks,Confidential support for dealing with loan sharks,No,www.stoploansharks.co.uk,reportaloanshark@stoploansharks.gov.uk,Adults,Peer Support,,,Almost anyone,,,,,,,,,,,,,,,,,,,,,
Stroke Association,Support for those affected by stroke,,,Strokeassociation.towerhamlets@nhs.net,Stroke,Practical Help,Advice,,Stroke victims ,TH,,,,,,,,,,,,,,,,,,,,
Substance Dependency and Recovery ,Substance Dependency and Recovery,,www.catch-22.org.uk/find-services/dependency-and-recovery/,,Substance Misuse,Men,Youth,,Men 18-25,EC1V 3AG  (head office),,,,,,,,,,,,,,,,,,,,
Supporting Care Leavers Lives ,Support for those leaving care ,,driveforwardfoundation.org/help-for-young-people/,,Care leaver,Keyworker,Practical Help,,All who are leaving care ,SE1 7RJ,,,,,,,,,,,,,,,,,,,,
Switchback ,"intense 1-1 support and training for prison leavers, leading to jobs ",,Switchback - London Based Prison Rehabilitation Charity,,1to1,Men,Prison,,Men ,London (all boroughs) ,,,,,,,,,,,,,,,,,,,,
Take back your life,Mindfulness for health,,www.globecommunityproject.org/take-back-your-life,,Chronic Pain,Wellness,Health Problems ,,All (especially with chronic illness) ,E2 9PL,,,,,,,,,,,,,,,,,,,,
Tavistock Relationships ,"Couple, relationship, family therapy ",,tavistockrelationships.org/,,couple/marriage,Counselling,Mental Health,,All,E1 7DA,,,,,,,,,,,,,,,,,,,,
TH Adventure Club,"cycling canoeing, climbing & food, after school",,www.towerhamlets.gov.uk/lgnl/leisure_and_culture/sport_and_physical_activity/outdoor_education_team.aspx,,Group,Social,Child,,8-19 (25 SEND) yrs ,Mile end Park,,,,,,,,,,,,,,,,,,,,
TH Council ,"Community workshops to improve self-esteem social skills, independence ",,www.towerhamlets.gov.uk/lgnl/education_and_learning/young_people/SEND-youth-service-offer.aspx  ,,Social,SEND,Youth,, 11-25 with Special Educational Need & Disabilities (SEND),Haileybury Youth Centre E1 3FQ,,,,,,,,,,,,,,,,,,,,
TH Couples Therapy ,Couples therapy ,,Tower Hamlets Talking Therapies | East London NHS Foundation Trust (elft.nhs.uk),aliahussain@nhs.net,couple/marriage,Counselling,Mental Health,,All,-,,,,,,,,,,,,,,,,,,,,
TH Food Support ,Advice on food in cost of living crisis,,www.towerhamlets.gov.uk/lgnl/advice_and_benefits/cost-of-living/Help-with-food.aspx,,Food,Cost of Living,Finances,,All,Online ,,,,,,,,,,,,,,,,,,,,
TH Holiday Childcare Scheme ,Childcare scheme ,,www.towerhamlets.gov.uk/lgnl/education_and_learning/extra-curricular_activities/Holiday_childcare/Holiday_Childcare_Scheme.aspx,,Childcare,Child,Low Cost,,Children 3-13,E1 0BD,,,,,,,,,,,,,,,,,,,,
TH Independent SEND Parents Forum ,Forum and support for SEND parents ,,thsendforum.co.uk/,,SEND,Parenting,Childcare,,All SEND parents,Online,,,,,,,,,,,,,,,,,,,,
TH Law Centre,Legal/financial/housing advice ,,thlc.co.uk/,,Legal Advice,Housing,Finances,,All       ,E14 7HG,,,,,,,,,,,,,,,,,,,,
TH LGBT+ Community Forum ,LGBTQ+ forum/newsletter/community projects ,,,LGBT Forum <LGBTforum@elop.org>,LGBTQ+,,,,,,,,,,,,,,,,,,,,,,,,,
TH resident support scheme,Support for those in housing crisis or financial difficulty (white goods),,www.towerhamlets.gov.uk/lgnl/advice_and_benefits/Residents_Support_Scheme.aspx,,Housing,Finances,Advice,,16+ and not subjected to UK immigration control ,- ,,,,,,,,,,,,,,,,,,,,
TH Sight and Hearing Service,"Council  services, very open to giving advice, especially as long waiting list. Referral via TH Connect",,,SightAndHearing@towerhamlets.gov.uk or 020 7364 6799,Blind/Vision,Deaf/Hearing ,Disability,,,,,,,,,,,,,,,,,,,,,,,
TH Women's Network,Network improving women's lives ,,forms.office.com/pages/responsepage.aspx?id=NBeLjvBpHUyymy_VlXE01Gfb5cBm-fBOkA3rAu_6RKpUNURQOE85NjdIN1FSMkdDNFY0M0NHQUJOTC4u,,Women,Social,Advice,,Women,E2 6JY,,,,,,,,,,,,,,,,,,,,
TH Young Adult Carers Project,Social and wellbeing help for young carers ,,Young Adult Carers,,Social,Carer,Youth,,16-25 young carers ,E1 0SG,,,,,,,,,,,,,,,,,,,,
Thai Boxing Fighters Academy,"Muay Thai Boxing, funding from MIND",,www.thaiboxingfightersacademy.com/,,Exercise,Group,Social,,All,dependent on session,,,,,,,,,,,,,,,,,,,,
Thames Water,"WaterHelp, WaterSure and financial support",,Financial support | Account and billing | Help | Thames Water,,Finances,Utility bills,Benefits,,,,,,,,,,,,,,,,,,,,,,,
The Cotton Tree Trust,"Connectivity, leave to remain advice and food vouchers ",,www.cottontreetrust.org.uk/,,Asylum,Legal Advice,Food,,Asylum seekers,N7 6LA,,,,,,,,,,,,,,,,,,,,
The Detached Team,Preventing vulnerable young people getting into crime,,,bilal.awan@towerhamlets.gov.uk,Youth,Keyworker,Mentoring,,Vulnerable young people ,TH ,,,,,,,,,,,,,,,,,,,,
The Food Chain,"HIV specialist nutrition charity. Deliver meals and groceries, cookery and nutrition classes, community meals",,,,HIV,Meal,Food,,People living with HIV + their dependants,London,,,,,,,,,,,,,,,,,,,,
The Havens,Support for those who have been raped/SA ,,thehavens.org.uk/,,Sexual Assault/Rape,Mental Health,Advice,,All (assault occurred in last 12 months) ,Whitechapel Haven (closest) ,,,,,,,,,,,,,,,,,,,,
The Low Cost Counselling Centre,Low cost therapy,,www.wandsworthap.co.uk/low-cost-counselling.htm,,Counselling,Low Cost,Mental Health,,All,South West London,,,,,,,,,,,,,,,,,,,,
The Men's Cabin,Social activities for men,No,,TheMensCabin@gmail.com,,Men,Social,Wednesdays(2-4pm),,"The Cabin, 82 St Leonards Rd, E14 OQU",,,,,,,,,,,,,,,,,,,,
The Minster Centre ,Affordable therapy ,,www.minstercentre.ac.uk/therapy/?doing_wp_cron=1710765851.5809729099273681640625,,Counselling,Low Cost,Mental Health,,All,NW6 6RD,,,,,,,,,,,,,,,,,,,,
The Muslim Therapist,Counselling sessions for Muslim community,,themuslimtherapist.co.uk/,,Counselling,Muslim,Mental Health,,All with Islamic Faith?,E10 7HR,,,,,,,,,,,,,,,,,,,,
The Play is not the Thing,"Muay Thai (Thai Boxing), Kickboxing and Boxing",,theplayisnotthething.org/,,Women,Exercise,Group,,Women,East London ,,,,,,,,,,,,,,,,,,,,
The Switch,Educational development mentoring,,theswitch.org/about-us/what-we-do/mentoring/,,Education,Mentoring,Youth,,14-18 yrs,E1 6BD,,,,,,,,,,,,,,,,,,,,
The Talking table,"Free open door disscussion to talk about anything, e.g. anixiety, depression",,,TheTalkingTableE1@gmail.com,Adults,Therapy,Free,,Adults 18+,"Selby community center, Selby street, London E1 5DF",,,,,,,,,,,,,,,,,,,,
This Way UP,6 weeks professional life coaching ,,quakersocialaction.org.uk/we-can-help/improving-your-wellbeing/way,,Mentoring,Wellness,Courses,,All,E2 9PJ,,,,,,,,,,,,,,,,,,,,
Thomas Pocklington Trust,Support for blind/partially sighted people,,www.pocklington.org.uk/about-us/,,Blind,Advice,Multi-Purpose,,Blind/partially sighted people ,WC1N 3AR (head office) ,,,,,,,,,,,,,,,,,,,,
Tower Hamlets Yound adult carers project,One to one support for people who live with or care people with long term illness or disability,No,www.ccth.org.uk,benjamin@ccth.org.uk,Peer Support,Advice,,,aged 16 -25,,,,,,,,,,,,,,,,,,,,,
TH's Children with Disabilities service,Advice and support for CWD and families ,,www.localoffertowerhamlets.co.uk/organisations/27999-children-with-disabilities-cwd-team,,Childcare,Learning Disability/Difficulty,Advice,,All affected ,E1 5NP,,,,,,,,,,,,,,,,,,,,
THYL UNITED,Boys and Girls League,No,www.thylunited.com,thylunited@hotmail.com,Leisure,,,,Boys and Girls,"Mile end park leisure Centre,  E3 4HL",,,,,,,,,,,,,,,,,,,,
Together with Migrant Children ,Support for migrant and refugee children ,,www.togethermigrantchildren.org.uk/,,Refugee,Child,Advice,,Migrant and refugee children ,-,,,,,,,,,,,,,,,,,,,,
Touching Safe Ground,Yoga and English classes,,www.globecommunityproject.org/touching-safe-ground,,Women,Exercise,ESOL,,"Women (migrants, refugees and asylum seekers) ",Mission Practice/ E2 9PL,,,,,,,,,,,,,,,,,,,,
Tower Hamlets Education Wellbeing Service THEWS ,Offer free mental health support for children/young people ,,https://www.elft.nhs.uk/thews,elft.thews@nhs.net ,Child,Mental Health,Free,,,,,,,,,,,,,,,,,,,,,,,
Tower Hamlets Sports,Hamlets Way Football ,,,,Exercise,Group,Social,,,,,,,,,,,,,,,,,,,,,,,
Tower Hamlets Sports,Hockey (disability friendly),,,,Exercise,Disability,Group,,,,,,,,,,,,,,,,,,,,,,,
Tower Hamlets Sports,junior hockey (disability friendly) ,,,,Exercise,Disability,Child,,,,,,,,,,,,,,,,,,,,,,,
Tower Hamlets Sports,Multisport ,,,,Exercise,Group,Youth,,10-19 yrs ,E1W 3AJ,,,,,,,,,,,,,,,,,,,,
Tower Hamlets Sports,Tennis ,,www.towerhamlets.gov.uk/lgnl/leisure_and_culture/sport_and_physical_activity/Choose_a_sport/tennis.aspx,,Exercise,Group,Social,,All,Court dependent ,,,,,,,,,,,,,,,,,,,,
Tower Hamlets Sports,Trojans Basketball scrimmage ,,,,Exercise,Group,Social,,,,,,,,,,,,,,,,,,,,,,,
Tower Hamlets Sports,Trojans primary basketball training ,,,,Exercise,Group,Social,,,,,,,,,,,,,,,,,,,,,,,
Tower Hamlets Sports,Walking BASKETBALL ,,,,Exercise,Group,Social,,All (sessions specify different ages)  ,Mile end park leisure Centre ,,,,,,,,,,,,,,,,,,,,
Tower Hamlets Sports,WALKING NETBALL ,,www.active-together.org/getactive/activity/walking-netball87,,Exercise,Group,Social,,All  ,E140ED,,,,,,,,,,,,,,,,,,,,
Tower Hamlets Sports,West Ham Football Children's Session (Disability) ,,,,Exercise,Child,Disability,,,,,,,,,,,,,,,,,,,,,,,
Tower Hamlets Sports,Women Only Circuit sessions ,,,,Exercise,Women,Group,,,,,,,,,,,,,,,,,,,,,,,
Tower Hamlets Sports,Womens Basketball training (*mixed ability) ,,,play@trojansbasketballclub.co.uk or pauline.stewart@towerhamlets.gov.uk,Exercise,Women,Group,,All women,- (link blocked) ,,,,,,,,,,,,,,,,,,,,
Tower Hamlets Sports,women's Social badminton ,,,,Exercise,Women,Social,,,,,,,,,,,,,,,,,,,,,,,
Tower Hamlets Church,"Caring for babies, toddlers and thier grown ups",,https://towerhamlets.church/,,Baby,,,,,,,,,,,,,,,,,,,,,,,,,
Tower Project,Provider for children and adults with disabilities ,,www.towerproject.org.uk/,,Learning Disability/Difficulty,Group,Social,,Those with/affected by learning disabilities ,E1 0ND.,,,,,,,,,,,,,,,,,,,,
Toyhouse ,Mellow parenting and bumps Course ,,» Mellow Parenting & Mellow Bumps course,,Parenting,Courses,Child,"Tuesday,2nd May 1-3",Parents of under 5s and their kids ,E3 4AL,,,,,,,,,,,,,,,,,,,,
Toyhouse ,Toy Library ,,www.toyhouse.org.uk/toy-libraries/,,Child,Practical Help,Cost of Living,,parents and children ,Local libraries,,,,,,,,,,,,,,,,,,,,
Toynbee hall,"Advice, Art, social, singing, dance, yoga, LGBT, Film, Ballet,  Sewing, Reading, Bingo",,www.toynbeehall.org.uk/ ,,Multi-Purpose,Poverty,Low Cost,,people facing poverty/injustice ,E1 6LS,,,,,,,,,,,,,,,,,,,,
Toynbee Hall,Macmillan benefits advice ,,,Helen.Evans@toynbeehall.org.uk ,Benefits Advice,Cancer,Health Problems ,,All affected by cancer diagnosis,E1 6LS,,,,,,,,,,,,,,,,,,,,
Toynbee Hall,Sewing classes,,www.toynbeehall.org.uk/whats-on/sewinggroup,,Fine Arts,Social,Group,,,E1 6LS,,,,,,,,,,,,,,,,,,,,
Toynbee Hall Free Legal Advice Clinic,"housing, civil, consumer, employment",,Help and Advice – Toynbee Hall,,Legal Advice,Free,,Housing clinic: Wednesday evenings ,,"Toynbee hall, 28 Commercial St, London E1 6LS",,,,,,,,,,,,,,,,,,,,
Toynbee Hall Let us Play,Outdoor play session,,Play - Toynbee Hall,rachel.davies@toynbeehall.org.uk,Play,Child,Nature,,,,,,,,,,,,,,,,,,,,,,,
Toynbee hall Macmillan Service,Macmillan benefits advise for Cancer patients,,Macmillan Toynbee Hall Welfare Rights Service ,,Cancer,Benefits Advice,Health Problems ,,those affected by cancer diagnosis ,East London ,,,,,,,,,,,,,,,,,,,,
Toynbee Hall Women’s Free Legal Advice Clinic,"In person advice on housing, employment, family law, domestic violence, housing, civil, consumer, employment",,Cleary Gottlieb and Toynbee Hall Celebrate Women’s Free Legal Advice Clinic in East London – Toynbee Hall,,Legal Advice,Free,Women,,,"Toynbee hall, 28 Commercial St, London E1 6LS",,,,,,,,,,,,,,,,,,,,
U3A,"low cost social learning classes for new skills , online & local ",,www.u3a.org.uk/ ,,Courses,Low Cost,Education,,"Those not working full time, interested in learning ",online ,,,,,,,,,,,,,,,,,,,,
Ultimate Counselling,"Free for London asylum seekers, refugees and people with No Recourse to Public Funds ",,UCTS – Ultimate Couselling,,Counselling,Immigration,Free,,,E14 9YQ,,,,,,,,,,,,,,,,,,,,
Unity ,Support migrants with no resource to public funds (NRPF),,www.unity-project.org.uk/,,Refugee,Finances,Advice,,Immigrants ,N1 2TZ,,,,,,,,,,,,,,,,,,,,
University House,Specialist Legal advice,,legaladvicecentre.london/,,Legal Advice,Advice,,,All,E2 0RN,,,,,,,,,,,,,,,,,,,,
UP Movement,Charity for adults with Cerebral Palsy - member socials on Zoom,,Home - UP – The Adult Cerebral Palsy Movement (upmovement.org.uk),,,,,,,,,,,,,,,,,,,,,,,,,,,
Upskill Choices,"Get into training, well-being activities and volunteering",No,,,Adults,Health Problems ,,,,,,,,,,,,,,,,,,,,,,,,
Urban Adventure Base ,Sport and Physical Activity. Duke of Edinburgh award,,www.towerhamlets.gov.uk/lgnl/leisure_and_culture/sport_and_physical_activity/Weekly_timetable.aspx,,Exercise,Youth,Social,,10-25 youth,E3 4JT,,,,,,,,,,,,,,,,,,,,
Variety75,Charity for disabled and/or disadvantaged children,,www.variety.org.uk/ ,,Child,Disability,Multi-Purpose,,,NW1 0AG,,,,,,,,,,,,,,,,,,,,
VI friends group,Zoom meeting for Visually Impaired,,,enquiries@vifriends.uk,Blind,Online,Group,,Blind/partially sighted people ,Online (mostly),,,,,,,,,,,,,,,,,,,,
"Vicky Park Rangers FC
",Girls football,,vickyparkrangersfc.com/,,Girls,Exercise,,,,Victoria Park,,,,,,,,,,,,,,,,,,,,
Victim and Witness Support,East London Victim Support,,Home - London Victim and Witness Service (londonvws.org.uk),,Victim,1to1,Trauma,,,,,,,,,,,,,,,,,,,,,,,
Vision foundation ,Help line 24/7,,text VIP to 85258,,Blind,Crisis,Mental Health,,Blind/partially sighted people ,Online,,,,,,,,,,,,,,,,,,,,
Volunteering Centre,Volunteer recruitment,,www.vcth.org.uk/,,Volunteering,Social,Social Isolation,,All,E1 6BD,,,,,,,,,,,,,,,,,,,,
Volunteering Matters ,"Volunteering with adult social action, youth social action, older volunteers, mentoring? ",,Volunteering Matters - Creating stronger communities from within,,Volunteering,Multi-Purpose,Mentoring,,All ,England and Wales ,,,,,,,,,,,,,,,,,,,,
Walking Football,Walking Football,,forms.office.com/pages/responsepage.aspx?id=h-wKPIP5j0Gz3NNduD-10u3uYDvNAaVJgLXCPt_bsjFURjRWUk1aNDhIOExPUk9OS0IySTBBQUhWRy4u,,Exercise,Group,Social,,All ,E3 4HL,,,,,,,,,,,,,,,,,,,,
Walking Sports,Walking sports or low impact sports ,,www.walkingsports.com/mile-end-park-leisure-centre/,,Exercise,Group,50+,,50+ yrs ,E14 7TW,,,,,,,,,,,,,,,,,,,,
Warmer Homes Grants,"Improvements in heating, insulation and ventilation",,www.london.gov.uk/warmerhomes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterloo Community Counselling ,Low cost therapy and language counselling for AS,,waterloocc.co.uk/,,Counselling,Asylum,Low Cost,,All,SE1 7BD,,,,,,,,,,,,,,,,,,,,
We Swim ,Swimming for adults with all disabilities,,https://weswim.club/,,Exercise,Disability,Low Cost,,Adults with disabilities ,Across East London ,,,,,,,,,,,,,,,,,,,,
WEA,adults educational courses ,,www.wea.org.uk/,,Courses,adults,Education,,All,in-person in UK and online,,,,,,,,,,,,,,,,,,,,
Weavers Community Forum,"Bengali Forum - Community Support: Advice, Exercise, Employability, Foodbank, Football, ",,weaversforum.org/health-wellbeing-hw-projects/,,Exercise,Advice,Wellness,,All,Session dependent ,,,,,,,,,,,,,,,,,,,,
Well Child,Training for families with seriously ill children ,,New Year Brings New Hope for Seriously Ill Children and Families in TH | WellChild,,Family,Health Problems ,Childcare,,Families of seriously ill children,Mile End Hospital ,,,,,,,,,,,,,,,,,,,,
Well One website,Physical and mental wellbeing activities / exercise,,wellone.co.uk/,,Exercise,Wellness,Group,,All,Activity dependent ,,,,,,,,,,,,,,,,,,,,
Wheelpower,"national charity for wheelchair sport, including online exercise",,Home - WheelPower,,Exercise,Disability,,,Wheelchair users,Online and in-person,,,,,,,,,,,,,,,,,,,,
Wheels4me,Accessible bikes (short) loan scheme for those with Disabilities,,https://www.wheels4me.co.uk/,info@wheelsforwellbeing.org.uk ,Disability,Exercise,Free,,Adults (18+) With Disabilites ,Across London,1 month Free & Drop off + collection,,,,,,,,,,,,,,,,,,,
Whizz-kidz,Wheelchair Service,,,louise.viner@nhs.net>,Disability,Housebound,Wheelchair,,,"Mile End Hospital, E1 4DG",,,,,,,,,,,,,,,,,,,,
Wiltshire Farm Foods,Private company delivering frozen ready meals,,Ready Meals Delivered - Wiltshire Farm Foods,,Food,Meal,Housebound,,,,,,,,,,,,,,,,,,,,,,,
WISH,Support for disadvantaged women (community link and counselling) ,,www.womenatwish.org.uk/how-to-get-support/  Kelly Royer: 020 8980 3618,,Women,Counselling,Keyworker,,Women ,E2 9PL,,,,,,,,,,,,,,,,,,,,
Women and Health Camden ,Long term and short term counselling (low cost/free),,www.mentalhealthcamden.co.uk/services/women-and-health-camden-counselling-and-psychotherapy-service,,Counselling,Low Cost,Women,,All (women especially) ,NW1 0HU,,,,,,,,,,,,,,,,,,,,
Woman's Trust,Therapeutic support groups for recovery from domestic abuse,No,https://womanstrust.org.uk/,,Women,DV Domestic Violence,,,Women,"Woman's Trust, PO Box, London, NW1W 7QL",,,,,,,,,,,,,,,,,,,,
Women+ Health ,Counselling and body therapy,,www.womenandhealth.org.uk/?cn-reloaded=1,,Counselling,Women,Wellness,,All,NW1 0HU,,,,,,,,,,,,,,,,,,,,
Women's Inclusive team - WIT,Development courses and other wellbeing services,,wit.org.uk/,,Courses,Multi-Purpose,BAME women,,18+ Black/ethnic minority women in TH,E2 9LJ,,,,,,,,,,,,,,,,,,,,
Women's Institute,national charity for wheelchair sport,,Find a WI | National Federation of Women's Institutes,,Women,Group,Social,,All women,E29PL,,,,,,,,,,,,,,,,,,,,
Women's Wellbeing's Margarets House ,Beginners Yoga ,,www.stmargaretshouse.org.uk/womens-wellbeing,,Wellness,Exercise,Women,,Women (children under 5 can be brought to sessions,Tramshed,,,,,,,,,,,,,,,,,,,,
Woodwork for Wellbeing,relaxed social woodwork sessions ,,www.woodworkforwellbeing.co.uk/ ,,Fine Arts,Mental Health,Social Isolation,,"mental health issues, feelings of isolation",E2 9PJ,,,,,,,,,,,,,,,,,,,,
Working well trust,"in work support, job hunting, starting a business",,workingwelltrust.org/ ,,Employment,Mental Health,Multi-Purpose,,"All with mental health issues, neurodivergent employees ",E2 9AX,,,,,,,,,,,,,,,,,,,,
Workpath,Individual Placement and Support in Primary Care,No,IPSPC@towerhamlets.gov.uk,,Adults,Health Problems ,,,Almost anyone,"55 Upper Bank Street, London, E14 5GR",,,,,,,,,,,,,,,,,,,,
World Medicine and the Jesuit Refugee Service,Acupuncture clinic,,www.worldmedicine.org.uk/jrs/,,Acupuncture,Refugee,Mental Health,Every Wednesday ,Refugees,E1W 2QT,,,,,,,,,,,,,,,,,,,,
XLP,Mentoring and employment support,,www.xlp.org.uk/referral.html ,,Mentoring,Youth,1to1,,Young people ,,,,,,,,,,,,,,,,,,,,,
Young Adult Social,Relax and hangout with other young adults,No,,elft.thrc@nhs.net,Adults,,,Wednesdays(5.30pm - 7.30pm),18-3O years old,"Tower Hamlets Recovery College, 86 Old Montague St, London E1 5NN",,,,,,,,,,,,,,,,,,,,
Young and Talented,"Acting, Singing and Dancing class. Bursary places for Tower Hamlets residents",,Young & Talented – School of Stage and Screen (youngandtalented.co.uk),,Child,Youth,Play,,Children 6-16yo,"Oxford House, E2 6HG",,,,,,,,,,,,,,,,,,,,
Young shoots programme ,Free youth employability for creative industry ,,The Young Shoots Programme | Small Green Shoots,,Youth,Employment,Fine Arts,,Youth (18-24),N7 9AH,,,,,,,,,,,,,,,,,,,,
Young Tower Hamlets,Council run website with Youth Clubs /Centre's activities,,Young Tower Hamlets,,Youth,,,,,,,,,,,,,,,,,,,,,,,,,
Zacchaeus Project,"Social Club, Activities and Advice. Also chiropody/podiatry",,http://zacchaeusproject.org.uk/,,50+,Group,Advice,,50+ and their carers,Bethnal Green Methodist Church ,,,,,,,,,,,,,,,,,,,,
Zacchaeus Project,IT workshop,No,,zpinfo@mcth.org.uk,,,,Wednesday 1pm - 3pm,people with little or no computer skills,Bethnal Green Methodist Church ,,,,,,,,,,,,,,,,,,,,
ScotsCare,Help/support for scottish people in London,No,www.scotscare.com,info@scotscare.com,Advice,,,,Scottish People,"22 City Road, London, EC1Y 2AJ",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King's Trust Development Award,,,Get funding to train and learn | Development Awards,,Grants,Youth,Employment,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Young Tower Hamlets,,,Venues,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turn2Us,Database of grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday circus,"helps in developing new skills like juggling, balancing and more",,,,,,,"9.15-10.15am, 10.30-11.30am","Ages- 5-7, 8-11","The Tramshed, Digby St, Bethnal Green, E2 0LS",,,,,,,,,,,,,,,,,,,,
To add:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
